City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Butaritari,KI,3.0707,172.7902,82.27,74,100,9.8,overcast clouds
80,Broome,US,42.2506,-75.833,44.01,93,90,8.05,light rain
81,Komsomolskiy,UZ,40.4272,71.7189,60.8,48,100,2.3,overcast clouds
82,Cayenne,GF,4.9333,-52.3333,84.2,74,75,17.27,broken clouds
83,Atambua,ID,-9.1061,124.8925,69.57,84,93,4.07,overcast clouds
84,Busselton,AU,-33.65,115.3333,57.0,95,37,1.01,scattered clouds
85,Bethel,US,41.3712,-73.414,50.0,96,100,8.05,moderate rain
86,Quthing,LS,-30.4,27.7003,61.5,36,28,6.6,scattered clouds
87,Hithadhoo,MV,-0.6,73.0833,82.4,70,10,2.06,clear sky
88,Puerto Quijarro,BO,-17.7833,-57.7667,96.84,32,68,1.3,broken clouds
89,Chuy,UY,-33.6971,-53.4616,69.53,85,100,4.63,light rain
90,Viedma,AR,-40.8135,-62.9967,72.48,42,55,15.08,broken clouds
91,Shestakovo,RU,56.4915,103.96,26.76,90,100,7.96,overcast clouds
92,Pont-Rouge,CA,46.7566,-71.6978,61.0,29,20,12.66,few clouds
93,Ailigandi,PA,9.2333,-78.0167,83.46,77,99,6.4,overcast clouds
94,Agadir,MA,30.4202,-9.5982,73.4,53,20,23.02,few clouds
95,Torbay,CA,47.6666,-52.7314,35.01,86,90,21.85,overcast clouds
96,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,73,40,20.71,scattered clouds
97,Susurluk,TR,39.9136,28.1578,57.2,77,40,10.36,scattered clouds
98,New Norfolk,AU,-42.7826,147.0587,45.0,65,90,3.44,overcast clouds
99,Kupino,RU,54.3663,77.2981,38.43,97,96,8.34,overcast clouds
100,Sakakah,SA,29.9697,40.2064,80.6,11,0,8.05,clear sky
101,Dawei,MM,14.0833,98.2,78.55,83,78,0.78,broken clouds
102,Uspantan,GT,15.3833,-90.8333,80.6,57,75,4.61,broken clouds
103,Clyde River,CA,70.4692,-68.5914,3.2,78,20,24.16,snow
104,Mahon,ES,39.8885,4.2658,55.4,71,75,13.8,broken clouds
105,Aranos,NA,-24.1333,19.1167,75.79,17,5,7.74,clear sky
106,Geilo,NO,60.5333,8.2076,23.0,83,36,2.08,scattered clouds
107,Bowen,AU,-20.0167,148.2333,68.0,88,90,5.75,overcast clouds
108,Bairiki,KI,1.3292,172.9752,80.6,83,20,6.91,few clouds
109,Luanda,AO,-8.8368,13.2343,84.2,74,40,3.44,scattered clouds
110,George,ZA,-33.963,22.4617,62.6,94,90,4.61,light rain
111,Saint-Paul,RE,-21.0096,55.2707,78.8,69,90,13.8,overcast clouds
112,Te Anau,NZ,-45.4167,167.7167,50.81,90,100,4.34,light rain
113,Gdov,RU,58.7406,27.8122,39.72,59,93,12.37,overcast clouds
114,Upernavik,GL,72.7868,-56.1549,-4.49,84,99,1.61,overcast clouds
115,Baybay,PH,10.6833,124.8333,77.05,87,99,2.68,overcast clouds
116,Ibirapitanga,BR,-14.1642,-39.3736,81.86,57,100,4.88,overcast clouds
117,Olafsvik,IS,64.8945,-23.7142,44.06,97,100,19.8,overcast clouds
118,Chernyshevskiy,RU,63.0128,112.4714,20.14,90,100,8.08,overcast clouds
119,Manta,EC,-0.95,-80.7333,82.4,78,75,10.36,broken clouds
120,Gravelbourg,CA,49.8834,-106.5512,33.8,60,100,3.44,overcast clouds
121,Goderich,CA,43.7501,-81.7165,37.4,87,99,8.05,overcast clouds
122,Birao,CF,10.2849,22.7882,86.25,7,12,6.29,few clouds
123,East London,ZA,-33.0153,27.9116,64.4,94,75,16.11,light rain
124,Pangai,TO,-19.8,-174.35,71.6,94,20,5.75,few clouds
125,Wangkui,CN,46.8333,126.5,49.91,37,100,13.35,overcast clouds
126,Thinadhoo,MV,0.5333,72.9333,83.62,64,62,7.02,broken clouds
127,Tautira,PF,-17.7333,-149.15,82.4,65,75,3.44,light rain
128,Lugovoy,KZ,42.9472,72.7644,54.95,56,58,5.01,broken clouds
129,Vasto,IT,42.1243,14.7059,45.0,68,75,1.01,broken clouds
130,Juneau,US,58.3019,-134.4197,41.0,87,90,3.44,overcast clouds
131,Hermanus,ZA,-34.4187,19.2345,66.99,75,83,7.0,broken clouds
132,Sesvete,HR,45.8311,16.1164,50.0,34,0,6.91,clear sky
133,Port Blair,IN,11.6667,92.75,82.36,74,78,5.03,broken clouds
134,Lebu,CL,-37.6167,-73.65,60.22,76,13,12.33,few clouds
135,Kavaratti,IN,10.5669,72.642,84.36,71,25,8.14,scattered clouds
136,Beringovskiy,RU,63.05,179.3167,21.24,92,100,11.23,overcast clouds
137,Cabo San Lucas,MX,22.8909,-109.9124,84.99,47,20,8.05,few clouds
138,Muravlenko,RU,63.7898,74.523,27.05,80,87,15.97,overcast clouds
139,Victoria,HK,22.2855,114.1577,73.0,93,97,10.49,overcast clouds
140,Fortuna,US,40.5982,-124.1573,61.0,54,20,5.57,few clouds
141,Cam Ranh,VN,11.9214,109.1591,80.6,83,40,5.75,scattered clouds
142,Athabasca,CA,54.7169,-113.2854,53.6,34,1,6.91,clear sky
143,Colares,PT,38.7992,-9.4469,64.0,88,40,10.36,scattered clouds
144,Mandalgovi,MN,45.7625,106.2708,24.89,53,20,13.89,few clouds
145,Cidreira,BR,-30.1811,-50.2056,74.52,63,84,15.05,broken clouds
146,Codrington,AU,-38.2667,141.9667,53.8,65,72,9.04,broken clouds
147,Rio Gallegos,AR,-51.6226,-69.2181,62.6,25,40,17.27,scattered clouds
148,Beloha,MG,-25.1667,45.05,72.99,90,8,5.7,light rain
