City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lady Frere,ZA,2021-04-13 19:27:48,-31.7031,27.2329,67.48,46,9,5.91
68,Port Alfred,ZA,2021-04-13 19:27:48,-33.5906,26.891,71.92,90,9,9.19
69,Butaritari,KI,2021-04-13 19:27:48,3.0707,172.7902,82.18,75,100,10.45
70,Srednekolymsk,RU,2021-04-13 19:27:49,67.45,153.6833,-19.16,99,49,2.57
71,Peniche,PT,2021-04-13 19:27:49,39.3558,-9.3811,62.01,90,100,5.99
72,Saint Anthony,US,2021-04-13 19:23:07,45.0205,-93.218,35.6,64,90,18.41
73,Boda,CF,2021-04-13 19:27:49,4.3189,17.4695,74.16,78,98,1.32
74,Mlonggo,ID,2021-04-13 19:27:50,-6.5333,110.7,77.54,83,27,3.42
75,Telimele,GN,2021-04-13 19:27:50,10.9167,-13.3333,73.51,75,100,4.65
76,Bismarck,US,2021-04-13 19:27:50,46.8083,-100.7837,28.4,69,90,20.71
77,Pochinok,RU,2021-04-13 19:27:51,54.4068,32.4407,52.61,89,100,5.1
78,Ulaanbaatar,MN,2021-04-13 19:27:51,47.9077,106.8832,23.0,80,0,3.27
79,Hilo,US,2021-04-13 19:23:08,19.7297,-155.09,77.0,57,1,6.91
80,Hamilton,US,2021-04-13 19:25:27,39.1834,-84.5333,66.99,36,20,4.61
81,Carnarvon,AU,2021-04-13 19:27:51,-24.8667,113.6333,70.0,45,0,24.81
82,Kaduqli,SD,2021-04-13 19:27:52,11.0167,29.7167,86.23,7,100,7.36
83,Khuzhir,RU,2021-04-13 19:27:52,53.1939,107.3397,29.01,77,77,9.98
84,Ponta Do Sol,PT,2021-04-13 19:27:52,32.6667,-17.1,64.0,90,9,1.99
85,Pingliang,CN,2021-04-13 19:27:53,35.5392,106.6861,39.65,86,100,2.73
86,Port Elizabeth,ZA,2021-04-13 19:27:53,-33.918,25.5701,71.6,94,90,4.61
87,Ribeira Grande,PT,2021-04-13 19:27:53,38.5167,-28.7,62.6,94,75,17.27
88,Kodiak,US,2021-04-13 19:27:54,57.79,-152.4072,39.2,81,90,9.22
89,Cabo San Lucas,MX,2021-04-13 19:27:54,22.8909,-109.9124,84.2,21,1,11.5
90,Upernavik,GL,2021-04-13 19:27:54,72.7868,-56.1549,9.72,91,100,10.29
91,Hermanus,ZA,2021-04-13 19:27:55,-34.4187,19.2345,67.59,71,8,5.35
92,Arraial Do Cabo,BR,2021-04-13 19:27:55,-22.9661,-42.0278,78.8,61,40,12.66
93,Khatanga,RU,2021-04-13 19:27:55,71.9667,102.5,22.23,94,100,15.99
94,Bilgi,IN,2021-04-13 19:27:55,16.35,75.6167,82.63,41,91,12.73
95,Ust-Nera,RU,2021-04-13 19:27:56,64.5667,143.2,-16.6,88,37,3.09
96,Victoria,HK,2021-04-13 19:27:28,22.2855,114.1577,77.0,88,13,1.01
97,Longyearbyen,SJ,2021-04-13 19:27:56,78.2186,15.6401,8.6,61,20,20.71
98,Paciran,ID,2021-04-13 19:27:57,-6.8767,112.3761,77.9,84,8,4.03
99,Busselton,AU,2021-04-13 19:27:57,-33.65,115.3333,58.59,71,100,2.62
100,Cherskiy,RU,2021-04-13 19:27:57,68.75,161.3,-17.95,99,93,4.59
101,Egvekinot,RU,2021-04-13 19:23:33,66.3167,-179.1667,6.1,83,100,13.53
102,Suluq,LY,2021-04-13 19:27:58,31.6682,20.2521,72.52,22,99,7.45
103,Jacareacanga,BR,2021-04-13 19:27:58,-6.2222,-57.7528,91.4,62,40,4.61
104,Kahului,US,2021-04-13 19:24:13,20.8947,-156.47,75.2,69,40,11.5
105,Castro,BR,2021-04-13 19:27:22,-24.7911,-50.0119,69.3,72,96,3.18
106,Ancud,CL,2021-04-13 19:27:59,-41.8697,-73.8203,70.0,68,0,8.05
107,Mbandaka,CD,2021-04-13 19:27:59,0.0487,18.2603,72.12,95,100,6.26
108,Deputatskiy,RU,2021-04-13 19:27:59,69.3,139.9,-11.67,79,19,2.64
109,Ostrovnoy,RU,2021-04-13 19:27:59,68.0531,39.5131,31.17,97,100,10.89
110,Torbay,CA,2021-04-13 19:24:25,47.6666,-52.7314,37.99,93,90,32.21
111,Rabo De Peixe,PT,2021-04-13 19:28:00,37.8,-25.5833,62.6,88,40,17.27
112,Imeni Poliny Osipenko,RU,2021-04-13 19:28:00,52.4201,136.4853,16.75,91,100,19.89
113,Hithadhoo,MV,2021-04-13 19:28:00,-0.6,73.0833,82.99,65,100,7.81
114,Saskylakh,RU,2021-04-13 19:28:01,71.9167,114.0833,5.61,99,97,4.36
115,Bilibino,RU,2021-04-13 19:25:19,68.0546,166.4372,-13.0,82,98,3.24
116,Kununurra,AU,2021-04-13 19:28:01,-15.7667,128.7333,68.0,100,14,2.95
117,Coihaique,CL,2021-04-13 19:28:01,-45.5752,-72.0662,66.2,63,75,8.05
118,Naze,JP,2021-04-13 19:28:02,28.3667,129.4833,63.57,76,59,11.86
119,Ishigaki,JP,2021-04-13 19:24:23,24.3448,124.1572,73.83,86,97,15.3
120,Sinnamary,GF,2021-04-13 19:28:02,5.3833,-52.95,82.54,72,65,10.63
